Transaction_ID,Customer_ID,Transaction_Amount,Transaction_Date,Payment_Method,Product_Category,Quantity,Customer_Age,Customer_Location,Device_Used,IP_Address,Shipping_Address,Billing_Address,Fraudulent,Account_Age_Days,Transaction_Hour
15d2e414-8735-46fc-9e02-80b472b2580f,d1b87f62-51b2-493b-ad6a-77e0fe13e785,58.09,2/20/2024 5:58,bank transfer,electronics,1,17,Amandaborough,tablet,212.195.49.198,"Unit 8934 Box 0058
DPO AA 05437","Unit 8934 Box 0058
DPO AA 05437",0,30,5
0bfee1a0-6d5e-40da-a446-d04e73b1b177,37de64d5-e901-4a56-9ea0-af0c24c069cf,389.96,2/25/2024 8:09,debit card,electronics,2,40,East Timothy,desktop,208.106.249.121,"634 May Keys
Port Cherylview, NV 75063","634 May Keys
Port Cherylview, NV 75063",0,72,8
e588eef4-b754-468e-9d90-d0e0abfc1af0,1bac88d6-4b22-409a-a06b-425119c57225,134.19,3/18/2024 3:42,PayPal,home & garden,2,22,Davismouth,tablet,76.63.88.212,"16282 Dana Falls Suite 790
Rothhaven, IL 15564","16282 Dana Falls Suite 790
Rothhaven, IL 15564",0,63,3
4de46e52-60c3-49d9-be39-636681009789,2357c76e-9253-4ceb-b44e-ef4b71cb7d4d,226.17,3/16/2024 20:41,bank transfer,clothing,5,31,Lynnberg,desktop,207.208.171.73,"828 Strong Loaf Apt. 646
New Joshua, UT 84798","828 Strong Loaf Apt. 646
New Joshua, UT 84798",0,124,20
074a76de-fe2d-443e-a00c-f044cdb68e21,45071bc5-9588-43ea-8093-023caec8ea1c,121.53,1/15/2024 5:08,bank transfer,clothing,2,51,South Nicole,tablet,190.172.14.169,"29799 Jason Hills Apt. 439
West Richardtown, OH 36093","29799 Jason Hills Apt. 439
West Richardtown, OH 36093",0,158,5
4e707452-7c8a-4cbd-b0c1-2aeaa35c5e88,29616b04-2d5c-4729-9c9d-8d71a6ad9dc1,166.41,1/30/2024 10:55,bank transfer,toys & games,2,34,Herreramouth,tablet,202.237.29.55,"5699 Brittany Villages Suite 903
Lake Tim, MD 46274","120 Kristi Dale
Port Meganshire, GU 03060",0,38,10
7ed952fe-8ae1-4f11-8cc5-6607060240d8,fe21ae29-ba4c-424f-9d55-0095539c09fa,92.88,2/4/2024 19:59,PayPal,toys & games,2,14,Ramosfort,tablet,13.45.27.192,"727 Gibson Islands Apt. 279
New Davidbury, ME 43104","727 Gibson Islands Apt. 279
New Davidbury, ME 43104",0,119,19
0b2fb5aa-7171-472f-8269-371094608a07,024257c3-5671-4de8-a33c-98fc5cbe6f92,318.14,2/20/2024 13:30,credit card,health & beauty,4,42,Port Emily,desktop,131.141.230.185,"3914 Davis Union
Brownchester, IN 07744","3914 Davis Union
Brownchester, IN 07744",0,251,13
1f52366c-7f40-4397-885f-3856b6e6531c,f17640ca-49da-45d1-8461-c2a1cf9c1b61,47.92,3/3/2024 19:44,bank transfer,home & garden,4,38,Carneyfurt,desktop,210.148.17.240,"47893 Maldonado Stream Suite 443
Brownshire, MO 48487","47893 Maldonado Stream Suite 443
Brownshire, MO 48487",0,190,19
3f10dfde-9c4c-4085-9872-4f6b39502ffb,aab93e75-582f-4455-80b4-1fb35733a47c,121.78,1/16/2024 21:19,bank transfer,health & beauty,4,39,Brockburgh,mobile,174.32.252.238,"2334 Briana Centers Suite 576
Archershire, NM 45210","2334 Briana Centers Suite 576
Archershire, NM 45210",0,343,21
75f19b14-516c-4f1c-a99e-f1c456453b55,6a2e1397-e24a-4145-a821-fd835f732369,633.39,1/20/2024 22:11,PayPal,toys & games,5,20,Craneport,tablet,201.188.209.214,"Unit 7360 Box 5180
DPO AP 84328","55423 Henry Haven
Wesleychester, WI 59138",0,285,22
0dae14e6-aca5-48b4-8853-51188d3e9d9c,a30a5030-1c23-4750-a6b8-dd8fbf79c79b,56.31,2/16/2024 21:08,PayPal,home & garden,3,35,West Michael,tablet,81.95.103.200,"3684 Morris Inlet Suite 155
Chandlerville, NJ 01086","3684 Morris Inlet Suite 155
Chandlerville, NJ 01086",0,259,21
fb09ac9b-8c76-4caf-9973-c79563a186c2,2d86cadf-184e-46c3-9142-546fb584b3f8,275.87,2/15/2024 11:45,credit card,home & garden,5,45,Melindafurt,mobile,105.173.82.111,"4197 Lewis Way
Mariachester, NC 04968","075 Monroe Court
Davismouth, WA 67522",0,307,11
3a25fa55-ec25-4b47-bb3a-21fd7b2a4833,7be37ed2-b2d6-48b2-850c-2ed88ee86695,178.94,1/29/2024 15:55,debit card,clothing,4,27,Deniseburgh,mobile,211.46.251.245,"298 Taylor Canyon
South Megan, GA 73219","298 Taylor Canyon
South Megan, GA 73219",0,200,15
c696ffee-f01d-4447-b0d4-45fcbca65d13,bffedad1-43c1-4ef5-945b-ead50f6e501c,374.04,2/14/2024 13:31,bank transfer,home & garden,5,51,Danielmouth,tablet,25.126.229.2,"32232 Omar Glens
Kleintown, OK 77994","32232 Omar Glens
Kleintown, OK 77994",0,22,13
